name,section
butternut squash,MF806
chestnuts,AC951
onion,KF620
celery,EP772
vegetable oil,TI909
water,HY265
gelatin,JF316
Salt,YG647
plum tomatoes,FR575
stock,JG597
Worcestershire sauce,YB443
Louisiana hot sauce,WV814
hot red pepper flakes,XJ664
bay leaves,HT046
garlic,WZ767
carrots,UN286
onions,XB084
butter,ON853
Creole seasoning,VD434
beef brisket,VT421
bread crumbs,MD691
black pepper,XO345
oysters and their liquor,AO754
scallions,KL946
flour,SQ231
button mushrooms,JD259
butter,WW270
artichokes,GE023
lemon,DE673
Salt,JJ952
Confectioners' sugar,UE569
vanilla extract,GF579
eggs,CR206
nutmeg,AC146
baking powder,JE901
salt,SV169
sugar,CH790
flour,DQ622
white rice,DH775
Vegetable oil,TG634
elbow macaroni,WY462
black pepper,IR255
Dijon mustard,QE202
heavy cream,HW749
milk,IY178
hot red pepper flakes,EK760
flour,YX692
Cheddar,PW358
bread crumbs,SC615
unsalted butter,ED644
Salt,DM510
watercress,QW855
shiitake mushrooms,HJ715
olive oil,QT669
salt and black pepper,AY098
beef tenderloin,HS237
cinnamon,CV081
cocoa powder,VD347
coffee beans,WD766
brown sugar,VJ738
salt,XO105
heavy cream,QM708
chicken stock,MH375
garlic,ZJ758
onion,JN229
unsalted butter,ED074
white-corn tortilla,NE092
pasilla chilies,JU752
pomegranate molasses,OJ628
Angostura bitters,FN666
apple schnapps,IK421
sweet vermouth,BR809
applejack,JH455
orange,OJ175
sugar,FP601
cranberries,LC041
strawberries,OX642
bananas,JS519
Triple Sec,FH009
lemon juice,DY910
orange juice,VI422
papayas,KM636
kiwis,VN850
McIntosh apples,IQ839
Anjou pears,ZK603
pineapple,LW578
oranges,YK364
grapefruits,JP982
grapes,OG847
kumquats,XH717
sugar,RO368
vanilla extract,CY333
cake flour,EN566
salt,QK508
egg,EX465
brown sugar,ZV945
unsalted butter,XP805
black pepper,EZ469
Pernod,WC728
salt,XB756
lemon juice,KW152
olive oil,QO759
orange juice,FT485
fennel,CL988
romaine lettuce,VM107
watercress,OQ019
bell peppers,TO105
mushrooms,LZ599
rigatoni,OZ859
bay leaves,FN445
salt,LD153
sausage,OC726
red-pepper flakes,KT346
black pepper,WQ123
salt,XI314
thyme,VL080
oregano,DW481
tomatoes,UG552
olive oil,SR900
garlic,EY856
parsley leaves,TB008
liquid from cooked mussels,JJ202
capers,CS103
Freshly ground black pepper,VC834
kosher salt,MA708
